Probando. Tarjeta: MARGEN\%, datePeriod: week, timeComparison: same_period_last_year
Probando. Tarjeta: VENTAS, datePeriod: week, timeComparison: same_period_last_year
Probando. Tarjeta: CLIENTES, datePeriod: week, timeComparison: same_period_last_year
Probando. Tarjeta: MARGEN\%, datePeriod: month, timeComparison: same_period_last_year
Probando. Tarjeta: VENTAS, datePeriod: month, timeComparison: same_period_last_year
Probando. Tarjeta: CLIENTES, datePeriod: month, timeComparison: same_period_last_year
Probando. Tarjeta: MARGEN\%, datePeriod: quarter, timeComparison: same_period_last_year
Probando. Tarjeta: VENTAS, datePeriod: quarter, timeComparison: same_period_last_year
Probando. Tarjeta: CLIENTES, datePeriod: quarter, timeComparison: same_period_last_year
Probando. Tarjeta: MARGEN\%, datePeriod: year, timeComparison: prior_period
Probando. Tarjeta: VENTAS, datePeriod: year, timeComparison: prior_period
Probando. Tarjeta: CLIENTES, datePeriod: year, timeComparison: prior_period
Probando. Tarjeta: MARGEN\%, datePeriod: week, timeComparison: prior_period
Probando. Tarjeta: VENTAS, datePeriod: week, timeComparison: prior_period
Probando. Tarjeta: CLIENTES, datePeriod: week, timeComparison: prior_period
Probando. Tarjeta: MARGEN\%, datePeriod: month, timeComparison: prior_period
Probando. Tarjeta: VENTAS, datePeriod: month, timeComparison: prior_period
Probando. Tarjeta: CLIENTES, datePeriod: month, timeComparison: prior_period
Probando. Tarjeta: MARGEN\%, datePeriod: quarter, timeComparison: prior_period
Probando. Tarjeta: VENTAS, datePeriod: quarter, timeComparison: prior_period
Probando. Tarjeta: CLIENTES, datePeriod: quarter, timeComparison: prior_period
